127322,BIOC215,Frontiers in Biological Research (DBIO 215; GENE 215),GR,MED,Medical Satisfactory/No Credit,N/A,Autumn;Winter;Spring,0.61,0.0
127328,BIOC221,The Teaching of Biochemistry,GR,MED,Medical Satisfactory/No Credit,N/A,Autumn;Winter;Spring;Summer,0.0,0.0
127579,BIOC224,Advanced Cell Biology (BIO 214; MCP 221),GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,Winter,4.233,0.0
208892,BIOC236,Biology by the Numbers (APPPHYS 236),GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,None,4.598,0.0
127288,BIOC241,Biological Macromolecules (BIOE 241; BIOPHYS 241; SBIO 241),GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,Winter,4.2,0.0
203383,BIOC257,Currents in Biochemistry,GR,MED,Medical Satisfactory/No Credit,N/A,Autumn,0.5,2.5
127339,BIOC299,Directed Reading in Biochemistry,GR,MED,Medical Satisfactory/No Credit,N/A,Autumn;Winter;Spring;Summer,0.0,0.0
213303,BIOC350,Development of Thesis Research,GR,MED,Satisfactory/No Credit,N/A,Autumn,0.44,2.5
213288,BIOC360,Developing an Original Research Proposal,GR,MED,Medical Satisfactory/No Credit,N/A,Winter,0.56,2.5
205566,BIOC370,Medical Scholars Research,MED,MED,Medical School MD Grades,N/A,Autumn;Winter;Spring;Summer,0.0,0.0
127341,BIOC399,Graduate Research and Special Advanced Work,GR,MED,Medical Satisfactory/No Credit,N/A,Autumn;Winter;Spring;Summer,4.0,0.0
103400,BIOC459,Frontiers in Interdisciplinary Biosciences (BIO 459; BIOE 459; CHEM 459; CHEMENG 459; PSYCH 459),GR,MED,Medical Satisfactory/No Credit,N/A,Autumn;Winter;Spring,0.5,2.5
204449,BIOC801,TGR Project,GR,MED,TGR,N/A,Autumn;Winter;Spring;Summer,0.0,0.0
127344,BIOC802,TGR Dissertation,GR,MED,TGR,N/A,Autumn;Winter;Spring;Summer,0.0,0.0
218593,BIODS210,Configuration of the US Healthcare System and the Application of Big Data/Analytics,GR,MED,Medical Satisfactory/No Credit,N/A,None,0.0,2.5
219033,BIODS215,Topics in Biomedical Data Science: Large-scale inference,GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,Winter,4.18,2.5
215223,BIODS231,Survival Analysis (STATS 331),GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,None,4.456,0.0
218601,BIODS237,Deep Learning in Genomics and Biomedicine (BIOMEDIN 273B; CS 273B; GENE 236),GR,MED,Medical Option (Med-Ltr-CR/NC),N/A,Autumn,4.024,7.25
128652,BIODS260A,Workshop in Biostatistics (STATS 260A),GR,MED,Medical Satisfactory/No Credit,N/A,Autumn,0.29,2.5
125455,BIODS260B,Workshop in Biostatistics (STATS 260B),GR,MED,Medical Satisfactory/No Credit,N/A,Winter,0.29,0.0
128654,BIODS260C,Workshop in Biostatistics (STATS 260C),GR,MED,Medical Satisfactory/No Credit,N/A,Spring,0.0,2.5
